date	prec	tmax	tmin
19701107	1.9	28.8	24.3
19701108	5.8	29.4	23.1
19701109	2.6	27.8	23.3
19701110	0	30.5	21.6
19701111	0	31.5	23
19701112	0	32.5	24
19701113	0	33.1	24.3
19701114	0	32.8	24.2
19701115	0	31.2	22.9
19701116	7	29.9	22.4
19701117	0	29.1	22.4
19701118	0	29.1	24.2
19701119	0	29.4	25.8
19701120	33.5	28.1	23.4
19701121	153.2	25.6	23.1
19701122	17.7	26.2	23.5
19701123	144.2	26.4	22.7
19701124	0.5	27.6	22.4
19701125	0	27.9	21.8
19701126	0.3	27.6	22.4
19701127	3.5	25.5	22.4
19701128	0	26.7	24.6
19701129	3.5	26.7	22.5
19701130	0	25.6	20.3
19701201	0	27	17
19701202	0	27	16.5
19701203	0	27	17.3
19701204	0	27.4	18.2
19701205	0	27.1	17.5
19701206	0	27.6	17.2
19701207	0	27.1	18.9
19701208	0	27.1	19.3
19701209	0	26.9	21.6
19701210	0	25.6	20.3
19701211	0.5	25.6	22.5
19701212	0	26.6	20.3
19701213	0	27.2	18.5
19701214	0	27	18.9
19701215	0	26.6	17.3
19701216	0	26.9	18.1
19701217	0	27.6	20.5
19701218	0	28.1	19.8
19701219	0	27.6	18.8
19701220	0	26.6	22.3
19701221	0	27.2	23.3
19701222	0	27.7	20.6
19701223	0	27.6	19.8
19701224	0	27	20.8
19701225	0	26.6	19.8
19701226	0	27.2	20.6
19701227	5.3	27.1	21.9
19701228	20.2	25.8	21.7
19701229	0	27.7	20.4
19701230	0	27.6	19.6
19701231	0	26.7	20.3
19710101	0	26.6	18.5
19710102	0	26.9	17.9
19710103	0	26.3	21
19710104	0	27.2	21
19710105	0	27.5	20.7
19710106	0	27.3	21
19710107	0	26.6	21.3
19710108	0	26.9	20.7
19710109	0.5	27.3	22.2
19710110	0	27.4	22
19710111	13.8	25.7	21.2
19710112	0	26.5	20.7
19710113	0	27.6	20.2
19710114	0	27	20.2
19710115	0	27.4	20.1
19710116	0	27.2	18
19710117	0	27.2	19.5
19710118	0	28.2	19.2
19710119	0	27.6	18.9
19710120	0	27.5	19.1
19710121	0	27.4	19.5
19710122	0	26.7	22
19710123	0	28.4	22.3
19710124	0.4	28.7	23.9
19710125	0.4	27.6	22.9
19710126	1.6	29.1	22.7
19710127	0	29.9	23.2
19710128	0	30	23.7
19710129	0	30.2	23.4
19710130	0	29.9	23.4
19710131	0	29.8	23.3
19710201	0	30.1	22.2
19710202	0	29.6	21.1
19710203	0	29.1	21.6
19710204	0	29.2	21.7
19710205	0	29.3	20.7
19710206	0	30	20.7
19710207	0	28.5	20.8
19710208	0	28.5	21.3
19710209	0	29.7	20.1
19710210	0	29.7	20.4
19710211	0	28.7	19.9
19710212	0	30.2	20.9
19710213	0	30.2	20.2
19710214	0	29.8	20.9
19710215	0	29.3	21.1
19710216	0	28.8	21.4
19710217	0	29.9	21.8
19710218	0	28.5	20.2
19710219	0	28.7	19.9
19710220	0	28.7	21.1
19710221	0	30.8	22.9
19710222	0	31.3	23.5
19710223	0	31	23
19710224	0	30.5	23.8
19710225	0	31.7	24.9
19710226	0	31.1	24.3
19710227	0	30.8	24.7
19710228	0	31.8	23.6
19710301	0	31.7	23.8
19710302	0	32.1	24.7
19710303	0	30.5	24.5
19710304	0	30.2	24.4
19710305	0	30.5	25
19710306	16.4	32.1	23.3
19710307	0	29.2	23.4
19710308	0	29.6	25
19710309	0	29.6	24.9
19710310	18.2	29.9	22.2
19710311	0	29.7	22.9
19710312	0	29.7	22.6
19710313	0	29.5	22.6
19710314	0	29.5	22.3
19710315	0	29.8	22.8
19710316	0	30.3	23.4
19710317	0	30.3	23
19710318	0	30.5	22.5
19710319	0	32.8	22
19710320	0	30.1	22.3
19710321	0	33.5	22.3
19710322	0	31.5	21.8
19710323	0	31.7	22.1
19710324	0	30.8	21.6
19710325	0	31.5	22.5
19710326	0	31.6	22.1
19710327	0	31.3	21.8
19710328	0	30.8	22.7
19710329	0	31.5	23
19710330	0	32.1	23.4
19710331	0	32.3	25
19710401	0	32.4	24
19710402	0	32.4	24.5
19710403	0	33.1	25.3
