Date,prec,tmin,tmax,tmean,srad
19810730,0.3,18.7,29.5,24.1,19
19810731,0,19.5,29.8,24.65,20
19810801,16.9,19.6,28.8,24.2,14
19810802,10.5,20.6,29,24.8,17
19810803,0,18.8,30.1,24.45,20
19810804,0,19.2,29.4,24.3,15
19810805,7.3,20.6,28.4,24.5,16
19810806,5.4,20.9,30.3,25.6,17
19810807,0,18.1,30,24.05,18
19810808,0,18.8,30,24.4,19
19810809,0,19.9,29,24.45,14
19810810,2.2,20.5,29.3,24.9,16
19810811,0.2,20.1,29.3,24.7,17
19810812,4,19.9,27.6,23.75,16
19810813,7.2,18.7,28,23.35,16
19810814,0.1,19.9,28.9,24.4,16
19810815,0.8,18.4,30,24.2,21
19810816,0,19.6,30.5,25.05,21
19810817,2.1,19.9,30.2,25.05,18
19810818,21.9,19,25.2,22.1,12
19810819,30.3,18.4,27.9,23.15,16
19810820,0.1,18.7,28.3,23.5,20
19810821,78.6,18.9,28.4,23.65,18
19810822,0,18.9,27.9,23.4,18
19810823,3.7,19.5,28.4,23.95,20
19810824,8.7,19.5,28.2,23.85,15
19810825,1.2,19.6,29.7,24.65,19
19810826,0.7,20.4,28.9,24.65,16
19810827,0,19,30.4,24.7,19
19810828,0,19.2,30.5,24.85,19
19810829,0,19.2,29.1,24.15,17
19810830,3.8,18.9,29,23.95,17
19810831,0.9,19.4,28.5,23.95,18
19810901,22.7,20.4,26.5,23.45,13
19810902,44.4,19.4,28.3,23.85,16
19810903,9,18.5,29.3,23.9,21
19810904,0,18.8,29.7,24.25,18
19810905,37.6,18.5,27.6,23.05,17
19810906,0.6,18.6,29.6,24.1,20
19810907,0,19.9,30.1,25,20
19810908,16.6,18.8,29.6,24.2,18
19810909,1.4,19.3,30.4,24.85,21
19810910,0.2,20.4,29.6,25,20
19810911,26.8,20.7,28.5,24.6,15
19810912,0,19.4,29.5,24.45,20
19810913,0,21,29.8,25.4,21
19810914,0,20.4,31.1,25.75,19
19810915,0,20,31,25.5,21
19810916,0,19.6,25.2,22.4,11
19810917,8.7,18.3,28.9,23.6,20
19810918,41.9,19.5,30.2,24.85,20
19810919,3.5,20.5,29.7,25.1,19
19810920,0.7,21.3,29.6,25.45,15
19810921,0.9,19.4,29.2,24.3,18
19810922,0,20.2,30,25.1,18
19810923,7.2,21,29.2,25.1,17
19810924,2.4,19.8,28.6,24.2,15
19810925,12.3,18.7,29.6,24.15,20
19810926,0,21,30.5,25.75,17
19810927,2.8,19.7,29.9,24.8,18
19810928,15.8,21,30.3,25.65,17
19810929,2.4,20.3,30.9,25.6,20
19810930,0,20.7,31.3,26,21
19811001,0,20,31,25.5,21
19811002,0,19.9,30.9,25.4,21
19811003,0,20,30.1,25.05,18
19811004,0,19.5,30.3,24.9,19
19811005,0,19.3,31.9,25.6,21
19811006,0,19.7,31.9,25.8,19
19811007,0,20.5,29.3,24.9,18
19811008,0,19.6,30,24.8,19
19811009,0.1,20.6,31.4,26,20
19811010,0,19.8,29.9,24.85,17
19811011,0.5,19.2,30.3,24.75,19
19811012,0.2,20.2,30.4,25.3,15
19811013,14.2,19.7,29.6,24.65,17
19811014,0,20,31.2,25.6,19
19811015,2.2,21.4,28.9,25.15,14
19811016,5.4,21,30.4,25.7,18
19811017,0,20,31,25.5,20
19811018,22.4,20.1,30.7,25.4,17
19811019,28.5,19.7,30.1,24.9,15
19811020,3,20.1,27.4,23.75,14
19811021,1.3,20.1,28.4,24.25,12
19811022,2.2,20.5,27.2,23.85,11
19811023,2.9,20.1,27.2,23.65,11
19811024,0.2,20.9,29.4,25.15,15
19811025,0,20.5,30.9,25.7,19
19811026,0,19.9,30.7,25.3,16
19811027,0,20,29.8,24.9,13
19811028,0,19.9,29,24.45,17
19811029,0,19.8,31.4,25.6,18
19811030,0,20,31.4,25.7,16
19811031,0,19.8,30.4,25.1,10
19811101,0,21.6,30.1,25.85,16
19811102,0,20.7,30.4,25.55,16
19811103,36.1,20.3,30.8,25.55,15
19811104,0,20.8,31.8,26.3,19
19811105,0,19.8,32,25.9,19
19811106,0,20.4,32.4,26.4,19
19811107,0,21.1,32,26.55,19
19811108,0,21.1,30,25.55,16
19811109,2.4,20.1,31.4,25.75,18
19811110,5,18.7,31.5,25.1,19
19811111,0,19.9,31.8,25.85,18
19811112,0.3,21.1,30.7,25.9,16
19811113,0.2,20.8,30.8,25.8,17
19811114,0,20.1,32,26.05,18
19811115,0,19.1,31.1,25.1,16
19811116,0,20.7,30.9,25.8,18
19811117,4.5,20.6,30.1,25.35,14
19811118,0,19.9,31.5,25.7,17
19811119,0,19.8,31.7,25.75,18
19811120,0,20.1,32.3,26.2,17
19811121,5.6,20.7,30,25.35,14
19811122,1.3,19.8,30.2,25,15
19811123,2.4,19.1,31.6,25.35,18
19811124,0,19.7,32.1,25.9,18
19811125,0,20.2,31.6,25.9,17
19811126,0,20.1,32.2,26.15,17
19811127,0,19.2,31.4,25.3,17
19811128,0,18.5,31.5,25,17
19811129,0,19,29.8,24.4,15
19811130,0.3,18.6,31.1,24.85,17
19811201,1.4,19,31.3,25.15,16
19811202,9.8,19.4,30.6,25,17
19811203,0.9,20,31.1,25.55,16
19811204,0,20.6,29.8,25.2,13
19811205,3.6,19.2,30,24.6,17
19811206,0,19.1,30.8,24.95,18
19811207,0,21.2,30.1,25.65,13
19811208,0,19.3,31.8,25.55,16
19811209,0,19.9,31,25.45,13
19811210,0,21.4,29.8,25.6,14
19811211,2.9,20.9,32,26.45,15
19811212,0,20.7,32.3,26.5,17
19811213,0.1,20.9,31.9,26.4,16
19811214,0.7,20.4,32.2,26.3,16
19811215,0,18.3,31.8,25.05,17
19811216,0,18.1,30.4,24.25,17
19811217,0,18.3,30,24.15,15
19811218,0,18,31.1,24.55,17
19811219,0,18.9,32,25.45,17
19811220,0,18.4,31.1,24.75,17
19811221,0,19.1,30.2,24.65,17
19811222,0,18.2,30.8,24.5,17
19811223,0,16.9,31.4,24.15,16
19811224,0,18.4,32,25.2,18
19811225,0,18.6,31,24.8,17
19811226,6.4,21.2,27.6,24.4,9
19811227,1.1,21.3,30.4,25.85,14
19811228,0.4,21.2,32.1,26.65,17
19811229,0,20.4,31.1,25.75,18
19811230,0,20.6,33.2,26.9,17
19811231,1.3,21.6,31.8,26.7,16
19820101,0,20.2,32.6,26.4,17
19820102,0,19.1,30.6,24.85,14
19820103,1.3,18.5,31.7,25.1,15
19820104,0,19.1,31.4,25.25,15
19820105,0.1,18.7,29.9,24.3,14
19820106,0,15.3,30.2,22.75,18
19820107,0,16.5,30,23.25,17
19820108,0,15.6,30.4,23,17
19820109,0,18.2,30.3,24.25,16
19820110,0,17.1,30.9,24,17
19820111,0,22.3,29,25.65,12
19820112,5.1,20.8,30.8,25.8,15
19820113,0,18.4,30.7,24.55,16
19820114,0,17.5,31.1,24.3,13
19820115,0,17.5,31.8,24.65,18
19820116,0,16.8,31.4,24.1,16
19820117,0,15.6,31.3,23.45,18
19820118,0,17.5,28.8,23.15,12
19820119,0.6,19.3,31.1,25.2,17
19820120,0,17.3,29,23.15,15
19820121,0,15.6,30.1,22.85,17
19820122,0,15,30.8,22.9,14
19820123,0,19.6,30.4,25,16
19820124,0,16.3,31,23.65,18
19820125,0,16.1,31.1,23.6,18
19820126,0,18,30.5,24.25,17
19820127,0,18.3,31.4,24.85,16
19820128,0,16.9,31.4,24.15,18
19820129,0,17.6,31,24.3,15
19820130,0,19.1,32.1,25.6,16
19820131,0,18.7,32,25.35,17
19820201,0,16.9,31.8,24.35,18
19820202,0,16.9,32,24.45,18
19820203,0,19.3,31.3,25.3,15
19820204,0,21,33.4,27.2,17
19820205,0,20.4,32.1,26.25,17
19820206,0,19.6,30.5,25.05,12
19820207,0,19.6,31.1,25.35,16
19820208,0,19.1,31.9,25.5,19
19820209,0,18.1,29.4,23.75,14
19820210,0,19.1,31.9,25.5,15
19820211,0,19.3,31.9,25.6,17
19820212,0,19.4,33.2,26.3,17
19820213,0,19,32.3,25.65,18
19820214,0,18.5,32.1,25.3,19
19820215,0,18.2,30.9,24.55,17
19820216,0,17.7,31.4,24.55,18
19820217,0,17.7,31.4,24.55,20
19820218,0,19.8,31.9,25.85,19
19820219,0,20,30.4,25.2,19
19820220,0,16.5,29.8,23.15,17
19820221,0,15.2,32.2,23.7,20
19820222,0,17.6,32.3,24.95,20
19820223,0,18.7,33.2,25.95,19
19820224,0,19.8,31.3,25.55,19
19820225,0,20.8,30.4,25.6,17
19820226,0,19.4,31,25.2,15
19820227,0,18,31,24.5,17
19820228,0,19.9,32.2,26.05,17
19820301,0,17.6,33,25.3,20
19820302,0,18,32.4,25.2,20
19820303,0,16.3,30.8,23.55,20
19820304,0,18,32.4,25.2,20
19820305,0,17.8,33,25.4,20
19820306,0,17.4,31.6,24.5,20
19820307,0,17.1,32.6,24.85,21
19820308,0,18.8,31.2,25,17
19820309,0,17.8,31,24.4,19
19820310,0,15.9,30.8,23.35,21
19820311,0,17.2,30.5,23.85,18
19820312,0,17.1,31.4,24.25,19
19820313,0,19.6,31.9,25.75,18
19820314,0,20.2,30.4,25.3,16
19820315,0,16.5,30.4,23.45,21
19820316,0,17.8,31,24.4,21
19820317,0,17.9,32.2,25.05,21
19820318,0,18.1,32,25.05,21
19820319,0,19,32.4,25.7,20
19820320,0,17,32,24.5,19
19820321,0,18.9,33.4,26.15,20
19820322,0,20.4,33,26.7,20
19820323,0,20.4,32.8,26.6,18
19820324,0,19.5,32.2,25.85,18
19820325,0,18.5,32.5,25.5,20
19820326,0,18.4,33.4,25.9,21
19820327,0,19,33,26,21
19820328,0,18.6,33,25.8,21
19820329,0,19,33.6,26.3,20
19820330,0,22.9,29.5,26.2,12
19820331,0,21.8,30.2,26,14
19820401,0,21.9,30.6,26.25,10
19820402,11.3,22,26.9,24.45,10
19820403,2,21.6,27,24.3,11
19820404,78,21.6,30.8,26.2,14
19820405,7.3,21.8,31.3,26.55,16
19820406,0,21.9,30,25.95,10
19820407,5.8,21.4,29.8,25.6,16
19820408,2.8,21.4,29.6,25.5,10
19820409,0,19.9,32.6,26.25,21
19820410,0,19.2,32,25.6,20
19820411,0,20,32,26,21
19820412,0,20,31.2,25.6,21
19820413,0,21.7,30.4,26.05,20
19820414,0,20,31,25.5,21
19820415,0,19.4,31.1,25.25,20
19820416,0,19.9,31.3,25.6,19
19820417,0,21.2,31.2,26.2,15
19820418,0,21.6,29.5,25.55,11
19820419,0,20.9,31,25.95,15
19820420,0,20.4,28.8,24.6,12
19820421,10.3,22.1,30.1,26.1,14
19820422,0,20,32.1,26.05,21
19820423,0,20.6,32.2,26.4,21
19820424,0,22.3,30.8,26.55,18
19820425,0,22.4,31.6,27,17
19820426,0,23.3,32,27.65,16
19820427,0,21.6,25.6,23.6,10
19820428,12.7,21.8,30,25.9,13
19820429,16.7,21.9,31.4,26.65,14
19820430,15.3,21.9,25.5,23.7,10
19820501,19.6,21.4,23.6,22.5,10
19820502,13.3,20.9,30.1,25.5,13
19820503,15.7,21.4,25.6,23.5,11
19820504,8.9,21.3,30,25.65,17
19820505,0,21.3,29.6,25.45,14
19820506,13.7,21.6,29.4,25.5,11
19820507,25.1,21.6,28.4,25,11
19820508,1.1,21.6,27.8,24.7,11
19820509,8.1,20.8,31,25.9,21
19820510,0,20.1,30.8,25.45,21
19820511,0,20,31,25.5,21
19820512,0,21,31.8,26.4,21
19820513,0,22,27,24.5,11
19820514,40.5,20.4,28.3,24.35,11
19820515,1,21.3,28.9,25.1,15
19820516,0,19.5,30.8,25.15,18
19820517,0,20.5,31.4,25.95,20
19820518,0,21.4,31,26.2,21
19820519,0,21.6,31,26.3,17
19820520,0,22.8,29.9,26.35,12
19820521,2.2,21.8,30.3,26.05,21
19820522,0,21.4,31.4,26.4,21
19820523,0,19.8,31.5,25.65,21
19820524,0,20.6,31.4,26,20
19820525,0,19.9,29.7,24.8,13
19820526,0,20.6,31.3,25.95,16
19820527,0,22.8,28.8,25.8,11
19820528,3.7,21.6,29.2,25.4,13
19820529,26.1,21.6,28.4,25,11
19820530,9.4,20.6,30.3,25.45,13
19820531,0,21.7,30.3,26,17
19820601,0,21.8,28.8,25.3,15
19820602,0,21,30.5,25.75,19
19820603,1.9,21.7,29.3,25.5,13
19820604,1.6,21.8,31,26.4,16
19820605,0,22,30.3,26.15,17
19820606,0,21.8,27.9,24.85,12
19820607,4.1,21.4,31,26.2,17
19820608,0,21.9,29.9,25.9,17
19820609,0,20.6,31.2,25.9,19
19820610,0,21.3,31.8,26.55,17
19820611,1.4,22.4,30.3,26.35,17
19820612,0.3,20.2,30.4,25.3,18
19820613,9.2,21.3,29.9,25.6,14
